Agro-Ecological Zone Compatibility,Pest disease vulnerability,Water irrigation reliability,Post Harvest Storage,Market Access,Planting/Sowing Time,Farmer experience,Cooperative Membership,Input Access and Affordability,AEZ_Score,Pest_Score,Water_Score,Storage_Score,Market_Score,Planting_Score,Experience_Score,Coop_Score,Input_Score,Risk Factor,Crop Type,Farmer ID,Farm Location,Price,Gender,Farm size,Previous Yield Output (Kgs),Persons with disability,Age
Low,Low,High,No,Yes,High,5-9 years,Yes,Yes,1.0,0.0,0.0,1,0,0,0.0,0,0,0.31,Maize,FARM_0001,Kakamega,55.61,Male,15.5,32478,No,33
Moderate,High,Low,Yes,Yes,Low,5-9 years,Yes,Yes,0.5,1.0,1.0,0,0,1,0.0,0,0,0.5,Beans,FARM_0002,Mandera,137.27,Male,22.93,41039,No,58
High,High,High,Yes,Yes,Low,>9 years,Yes,Yes,0.0,1.0,0.0,0,0,1,0.0,0,0,0.27,Maize,FARM_0003,Isiolo,55.61,Male,85.2,160648,Yes,48
Low,High,Moderate,Yes,No,High,1-4 years,Yes,No,1.0,1.0,0.5,0,1,0,0.5,0,1,0.6100000000000001,Maize,FARM_0004,Kwale,55.61,Male,65.99,197731,No,73
High,Moderate,High,No,Yes,Low,<1 year,No,Yes,0.0,0.5,0.0,1,0,1,0.5,1,0,0.405,Maize,FARM_0005,Narok,55.61,Male,72.61,77927,No,23
High,Moderate,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.5,0.5,0,0,0,0.0,0,0,0.155,Maize,FARM_0006,Samburu,55.61,Male,18.81,28293,No,72
High,Low,High,No,Yes,High,>9 years,Yes,Yes,0.0,0.0,0.0,1,0,0,0.0,0,0,0.13,Maize,FARM_0007,Machakos,55.61,Male,20.94,42939,No,67
Low,Low,Moderate,Yes,Yes,Low,>9 years,Yes,Yes,1.0,0.0,0.5,0,0,1,0.0,0,0,0.35,Beans,FARM_0008,Mandera,137.27,Female,79.93,180414,No,63
Low,High,High,Yes,No,High,1-4 years,Yes,No,1.0,1.0,0.0,0,1,0,0.5,0,1,0.54,Maize,FARM_0009,Isiolo,55.61,Female,23.02,54687,Yes,72
Moderate,Moderate,Low,Yes,Yes,High,5-9 years,Yes,Yes,0.5,0.5,1.0,0,0,0,0.0,0,0,0.315,Beans,FARM_0010,Murang'a,137.27,Male,60.53,126337,No,30
High,Moderate,High,Yes,Yes,High,1-4 years,Yes,Yes,0.0,0.5,0.0,0,0,0,0.5,0,0,0.125,Beans,FARM_0011,Migori,137.27,Female,84.92,104260,Yes,21
High,High,Moderate,Yes,Yes,Low,1-4 years,No,Yes,0.0,1.0,0.5,0,0,1,0.5,1,0,0.43,Maize,FARM_0012,Isiolo,55.61,Female,20.98,33792,No,25
Moderate,High,Low,Yes,No,High,5-9 years,Yes,Yes,0.5,1.0,1.0,0,1,0,0.0,0,0,0.53,Beans,FARM_0013,Baringo,137.27,Male,77.41,94024,No,77
High,Low,Moderate,No,Yes,Low,5-9 years,No,Yes,0.0,0.0,0.5,1,0,1,0.0,1,0,0.35,Maize,FARM_0014,Isiolo,55.61,Male,66.4,53765,No,24
Low,Low,Low,No,No,High,>9 years,Yes,Yes,1.0,0.0,1.0,1,1,0,0.0,0,0,0.5800000000000001,Maize,FARM_0015,Migori,55.61,Male,75.88,85405,No,25
High,Moderate,Low,No,No,High,>9 years,Yes,Yes,0.0,0.5,1.0,1,1,0,0.0,0,0,0.485,Maize,FARM_0016,Kajiado,55.61,Male,12.22,34617,No,79
